goos: darwin
goarch: arm64
pkg: github.com/eluv-io/common-go/format/structured
cpu: Apple M4 Max
BenchmarkClone_MapStringAny_Small-14        	 8818894	       120.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	 9926892	       120.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10110214	       119.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	 9917863	       120.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10060249	       121.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	 9903645	       120.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	 9886228	       120.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10006221	       121.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10058454	       121.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	 9912654	       121.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9451090	       121.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9899761	       121.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9948801	       121.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9876562	       122.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9875388	       120.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9880124	       122.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9880804	       121.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9766210	       121.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9743452	       123.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	 9878649	       120.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  596235	      2059 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  586450	      2074 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  588548	      2075 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  578851	      2065 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  584356	      2093 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  595551	      2069 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  566956	      2076 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  562240	      2080 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  555103	      2112 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  577105	      2079 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  567829	      2157 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  566059	      2133 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  577323	      2145 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  565542	      2140 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  563244	      2121 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  554383	      2110 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  568788	      2144 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  565587	      2212 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  550458	      2168 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  555312	      2192 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3367311	       347.7 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3465274	       352.5 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3443326	       352.0 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3429430	       348.9 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3413907	       357.9 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3438144	       352.1 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3442525	       349.0 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3439640	       348.2 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3438372	       348.4 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3474620	       350.6 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3518137	       343.9 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3472303	       345.8 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3511837	       344.5 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3478478	       342.9 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3521380	       344.0 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3496980	       343.4 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3340408	       347.2 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3479188	       406.1 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3441136	       346.6 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3259834	       354.1 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_StringInt-14              	 8064726	       147.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8193886	       148.0 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 7882484	       147.0 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8102767	       146.5 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8229768	       145.8 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 7922665	       147.4 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8208998	       152.1 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8089051	       148.4 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8076483	       162.1 ns/op	     256 B/op	       2 allocs/op
BenchmarkCloneMap_StringInt-14              	 8010303	       150.5 ns/op	     256 B/op	       2 allocs/op
BenchmarkClone_SliceAny-14                  	 3248451	       377.9 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3093535	       425.8 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3011958	       371.7 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3117498	       371.1 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3244048	       367.7 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3282141	       367.3 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3248505	       372.8 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3226268	       369.7 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3149230	       373.7 ns/op	     968 B/op	       4 allocs/op
BenchmarkClone_SliceAny-14                  	 3216265	       384.0 ns/op	     968 B/op	       4 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3337117	       352.4 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3378094	       351.7 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3435552	       353.8 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3445255	       349.6 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3438192	       349.1 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3434796	       348.0 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3393925	       350.1 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3450616	       347.9 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3462768	       346.8 ns/op	     920 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceAny-14             	 3429344	       351.1 ns/op	     920 B/op	       2 allocs/op
BenchmarkClone_SliceInt-14                  	17469897	        66.56 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	18010141	        66.77 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17134635	        66.64 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17064532	        68.22 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17378343	        67.71 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17792274	        67.39 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17680642	        67.83 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17037810	        67.38 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17803801	        66.95 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceInt-14                  	17813668	        68.90 ns/op	     152 B/op	       4 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44225636	        27.53 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	38687161	        27.00 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	45848994	        26.88 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44640640	        26.43 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	45087639	        26.67 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	45226341	        26.48 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	45159964	        26.22 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	46231564	        26.40 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44117917	        26.97 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceInt-14             	44724523	        26.65 ns/op	     104 B/op	       2 allocs/op
BenchmarkClone_SliceString-14               	21683007	        55.47 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21676447	        56.59 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	20292278	        56.00 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21530472	        56.66 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21611253	        55.69 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21813438	        55.77 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21639328	        55.58 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	20635678	        57.16 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21563018	        56.04 ns/op	     152 B/op	       4 allocs/op
BenchmarkClone_SliceString-14               	21642597	        55.39 ns/op	     152 B/op	       4 allocs/op
BenchmarkCloneSlice_SliceString-14          	36761373	        32.46 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37338393	        32.64 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37535091	        32.04 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	36922556	        32.13 ns/op	     104 B/op	       2 allocs/op
BenchmarkCloneSlice_SliceString-14          	37707834	        32.74 ns/op	     104 B/op	       2 allocs/op
